ruleEnginePage.heroDescI18n	"すべてのチャネルの注文をリアルタイムで収集・管理・分析します。"
crm.aiHub.catalogSync.syncThisProduct	"この商品を同期"
crm.aiHub.catalogSync.close	"閉じる"
crm.aiHub.catalogSync.schedFreq30m	"30分ごと"
crm.aiHub.catalogSync.schedFreq1h	"1時間ごと"
crm.aiHub.catalogSync.schedFreq6h	"6時間ごと"
crm.aiHub.catalogSync.schedFreq12h	"12時間ごと"
crm.aiHub.catalogSync.scheduleTitle	"自動同期スケジュール"
crm.aiHub.catalogSync.schedSaveBtn	"スケジュール保存"
crm.aiHub.catalogSync.fullSync	"フル同期"
crm.aiHub.catalogSync.fullSyncDesc	"すべての商品データを最初から完全に同期します。大量データ処理に時間がかかります。"
crm.aiHub.catalogSync.incrementalSyncDesc	"最後の同期以降に変更されたアイテムのみを迅速に同期します。"
crm.aiHub.catalogSync.targetChannels	"対象チャネル"
crm.aiHub.catalogSync.dryRun	"シミュレーション (Dry-Run)"
crm.aiHub.catalogSync.dryRunStartBtn	"シミュレーション実行"
crm.aiHub.catalogSync.processed	"処理済み"
crm.aiHub.catalogSync.errors	"エラー"
crm.aiHub.catalogSync.tabPriceRules	"価格ルール"
crm.aiHub.catalogSync.globalMarkup	"グローバルマークアップ(%)"
crm.aiHub.catalogSync.rounding	"丸めルール"
crm.aiHub.catalogSync.exchangeRate	"為替レート"
crm.aiHub.catalogSync.channelMarkup	"チャネル別マークアップ"
crm.aiHub.catalogSync.commissionAutoApplyDesc	"チャネル別手数料と税金はCHANNEL_RATES設定から自動適用されます。手動で修正も可能です。"
crm.aiHub.catalogSync.minMargin	"最低マージン(%)"
crm.aiHub.catalogSync.closePreview	"プレビューを閉じる"
crm.aiHub.catalogSync.openPricePreview	"価格プレビューを開く"
crm.aiHub.catalogSync.previewPrices	"価格プレビュー"
crm.aiHub.catalogSync.marginResult	"マージン結果"
crm.aiHub.catalogSync.stockThreshold	"安全在庫しきい値"
crm.aiHub.catalogSync.lowStockAlertTitle	"⚠️ 在庫不足アラート ({{n}}件)"
crm.aiHub.catalogSync.currentStock	"現在の在庫"
crm.aiHub.catalogSync.afterDistribution	"配分後の数量"
crm.aiHub.catalogSync.nearOutOfStockLabel	"品切れリスク"
crm.aiHub.catalogSync.jobId	"ジョブID"
crm.aiHub.catalogSync.type	"タイプ"
crm.aiHub.catalogSync.noHistory	"同期履歴はありません。"
crm.aiHub.catalogSync.catMapSaved	"✅ カテゴリマッピングが保存されました。"
crm.aiHub.catalogSync.catMapTitle	"カテゴリマッピング"
crm.aiHub.catalogSync.catMapDesc	"内部カテゴリを各販売チャネルのカテゴリ体系にマッピングします。"
crm.aiHub.catalogSync.internalCategory	"内部カテゴリ"
crm.aiHub.catalogSync.mappingStatus	"マッピング状況"
crm.aiHub.catalogSync.mapped	"マッピング済み"
crm.aiHub.catalogSync.unmapped	"未マッピング"
crm.aiHub.catalogSync.guideOverviewDesc	"カタログ同期は、商品カタログを複数の販売チャネルに自動登録・管理するエンタープライズ級統合ソリューションです。以下の8ステップに従って設定してください。"
crm.aiHub.catalogSync.guideTips	"💡 プロのヒント"
crm.aiHub.catalogSync.tabCatalog	"カタログ"
crm.aiHub.catalogSync.tabCategoryMapping	"カテゴリマッピング"
crm.aiHub.catalogSync.tabStockPolicy	"在庫ポリシー"
crm.aiHub.catalogSync.heroDesc	"商品カタログを複数の販売チャネルに自動登録・管理するエンタープライズ級統合ソリューション"
crm.aiHub.catalogSync.kpiErrorProduct	"エラー商品"
crm.aiHub.catalogSync.pageTitle	"カタログ同期"
crm.aiHub.catalogSync.pageSub	"商品カタログ統合管理"
crm.aiHub.catalogSync.tabCategories	"カテゴリ"
crm.aiHub.catalogSync.noProducts	"登録された商品はありません。"
crm.aiHub.catalogSync.betaMode	"ベータモード"
crm.aiHub.catalogSync.betaModeDesc	"実際のチャネルAPI呼び出しなしでシミュレーションされます。有料プランで実際の連携が利用可能です。"
crm.aiHub.catalogSync.priceFormulaDesc	"推奨販売価格の計算式: 原価 ÷ (1 - 手数料率 - 税率 - 利益率)。黄色の価格は手動入力された価格です。"
crm.aiHub.catalogSync.alertBulkPriceSync	"💰 一括価格編集同期: {{n}}商品 → グローバル価格システム更新完了"
crm.aiHub.catalogSync.alertNewProduct	"📂 カタログ新規登録同期: [{{name}}] → グローバル在庫更新完了"
crm.aiHub.catalogSync.alertCsvExport	"📤 CSV出力: {{n}}商品エクスポート完了"
crm.aiHub.catalogSync.alertCsvImport	"📥 CSV入力: {{n}}商品インポート → グローバル在庫同期完了"
crm.aiHub.catalogSync.alertExcelImport	"📊 Excelインポート: {{n}}商品一括登録 → グローバル在庫同期完了"
crm.aiHub.catalogSync.alertExcelExport	"📊 Excelエクスポート: {{n}}商品出力完了"
crm.aiHub.catalogSync.alertScheduleSaved	"⏰ 同期スケジュール保存: {{freq}} {{time}}"
crm.aiHub.catalogSync.activeLabel	"アクティブ"
crm.aiHub.catalogSync.connectedLabel	"接続済み"
crm.aiHub.catalogSync.cat_all	"全カテゴリ"
crm.aiHub.catalogSync.cat_electronics_audio	"電子機器 > オーディオ"
crm.aiHub.catalogSync.cat_electronics_input	"電子機器 > 入力デバイス"
crm.aiHub.catalogSync.cat_electronics_camera	"電子機器 > カメラ"
crm.aiHub.catalogSync.cat_fashion_clothing	"ファッション > 衣類"
crm.aiHub.catalogSync.cat_fashion_accessories	"ファッション > アクセサリー"
crm.aiHub.catalogSync.cat_beauty_skincare	"ビューティー > スキンケア"
crm.aiHub.catalogSync.cat_beauty_makeup	"ビューティー > メイクアップ"
crm.aiHub.catalogSync.cat_living_kitchen	"リビング > キッチン"
crm.aiHub.catalogSync.cat_sports_equipment	"スポーツ > 用品"
crm.aiHub.catalogSync.cat_toys_hobbies	"おもちゃ & ホビー"
crm.aiHub.catalogSync.colStatusHeader	"ステータス"
crm.aiHub.catalogSync.reserveDesc	"チャネルごとの予約数量を設定します。"
crm.aiHub.catalogSync.thresholdDesc	"在庫がこの閾値以下になるとアラートが送信されます。"
crm.aiHub.catalogSync.addCustomCategory	"カテゴリ追加"
crm.aiHub.catalogSync.addCategoryPh	"新カテゴリID（例: digital/tablet）"
crm.aiHub.catalogSync.addCategoryLabelPh	"表示名（例: デジタル > タブレット）"
crm.aiHub.catalogSync.categoryAdded	"✅ カテゴリが追加されました。"
crm.aiHub.catalogSync.categoryDeleted	"🗑️ カテゴリが削除されました。"
crm.aiHub.catalogSync.customCategoryLabel	"カスタム"
crm.aiHub.catalogSync.securityBannerTitle	"🛡️ セキュリティ脅威検出"
crm.aiHub.catalogSync.securityBannerMsg	"{{type}}攻撃がブロックされました。（累計{{count}}回）"
crm.aiHub.catalogSync.crossSyncToast	"✅ 商品データが価格最適化と同期されました。"
crm.aiHub.catalogSync.conn.heroDesc	"API キーを登録し接続状態を管理します。"
crm.aiHub.catalogSync.conn.tabDW	"データウェアハウス"
crm.aiHub.catalogSync.contentCal.noContent	"登録されたコンテンツがありません。"
crm.aiHub.catalogSync.contentCal.noChannelData	"接続チャネルデータなし"
crm.aiHub.catalogSync.contentCal.noChannelDataSub	"連携ハブでチャネルを接続するとAI分析が自動的に有効になります。"
crm.aiHub.catalogSync.contentCal.registerTitle	"コンテンツ登録"
crm.aiHub.catalogSync.contentCal.fieldTitle	"タイトル"
crm.aiHub.catalogSync.contentCal.fieldCampaign	"キャンペーン"
crm.aiHub.catalogSync.contentCal.fieldPlatform	"プラットフォーム"
crm.aiHub.catalogSync.contentCal.fieldStatus	"ステータス"
crm.aiHub.catalogSync.contentCal.btnCancel	"キャンセル"
crm.aiHub.catalogSync.contentCal.tabCalendar	"カレンダー"
crm.aiHub.catalogSync.contentCal.tabList	"リスト"
crm.aiHub.catalogSync.contentCal.title	"コンテンツカレンダー"
crm.aiHub.catalogSync.contentCal.subtitle	"プラットフォーム別コンテンツ管理·ステータス追跡·AI分析·リアルタイム同期"
crm.aiHub.catalogSync.contentCal.btnRegister	"コンテンツ登録"
crm.aiHub.catalogSync.contentCal.statusLabel	"ステータス"
crm.aiHub.catalogSync.contentCal.noEventsMonth	"今月の予定コンテンツがありません。「+コンテンツ登録」で新規追加してください。"
crm.aiHub.catalogSync.contentCal.st_draft	"下書き"
crm.aiHub.catalogSync.contentCal.st_review	"レビュー"
crm.aiHub.catalogSync.contentCal.st_cancelled	"キャンセル"
crm.aiHub.catalogSync.contentCal.liveSyncMsg	"リアルタイムクロスタブ同期有効 — 全モジュールデータがリアルタイム反映"
crm.aiHub.catalogSync.contentCal.exportCsv	"CSVエクスポート"
crm.aiHub.catalogSync.contentCal.guideCalName	"カレンダービュー"
crm.aiHub.catalogSync.contentCal.guideCalDesc	"月別スケジュールを視覚的に確認·TODAY表示·ステータス色分け"
crm.aiHub.catalogSync.contentCal.guideListName	"リストビュー"
crm.aiHub.catalogSync.contentCal.guideListDesc	"ステータス別フィルタリング·プラットフォーム/担当者/キャンペーン情報表示"
crm.aiHub.catalogSync.contentCal.guideAiDesc	"接続チャネルのAI自動パフォーマンス分析·KPI追跡·戦略推薦"
crm.aiHub.catalogSync.contentCal.guideGuideName	"利用ガイド"
crm.aiHub.catalogSync.contentCal.guideGuideDesc	"コンテンツカレンダーの使い方·6ステップワークフロー説明"
crm.aiHub.catalogSync.ds.heroDesc	"広告・コマース・UGC全ドメインの統合スキーマ、パイプライン、指標、アラートルールを管理します。"
crm.aiHub.catalogSync.ds.badgeTotalFields	"全フィールド"
crm.aiHub.catalogSync.ds.badgeAlertRules	"アラートルール"
crm.aiHub.catalogSync.ds.badgePlatforms	"プラットフォーム"
crm.aiHub.catalogSync.ds.tabSchema	"スキーマ"
crm.aiHub.catalogSync.ds.tabSchemaDesc	"ドメイン別フィールド定義"
crm.aiHub.catalogSync.ds.tabPipeline	"パイプライン"
crm.aiHub.catalogSync.ds.tabPipelineDesc	"データ収集・処理フロー"
crm.aiHub.catalogSync.ds.tabMetricsDesc	"指標カタログ"
crm.aiHub.catalogSync.ds.tabAlerts	"アラート"
crm.aiHub.catalogSync.ds.tabAlertsDesc	"閾値アラートルール"
crm.aiHub.catalogSync.ds.adEvents	"広告イベント"
crm.aiHub.catalogSync.ds.marketOrders	"マーケット注文"
crm.aiHub.catalogSync.ds.ugcInfluencer	"UGC/インフルエンサー"
crm.aiHub.catalogSync.ds.secCampaignHierarchy	"キャンペーン階層"
crm.aiHub.catalogSync.ds.secAudienceTarget	"オーディエンスターゲティング"
crm.aiHub.catalogSync.ds.secPerfMetrics	"パフォーマンス指標"
crm.aiHub.catalogSync.ds.secReturnClaim	"返品/クレーム"
crm.aiHub.catalogSync.ds.secCreatorIdentity	"クリエイター情報"
crm.aiHub.catalogSync.ds.secContentPerf	"コンテンツ実績"
crm.aiHub.catalogSync.ds.thField	"フィールド名"
crm.aiHub.catalogSync.ds.thType	"タイプ"
crm.aiHub.catalogSync.ds.thTags	"タグ"
crm.aiHub.catalogSync.ds.fields	"フィールド"
crm.aiHub.catalogSync.ds.platforms	"プラットフォーム"
crm.aiHub.catalogSync.ds.domain	"ドメイン"
crm.aiHub.catalogSync.ds.alertCondition	"アラート条件"
crm.aiHub.catalogSync.ds.definedMetrics	"定義済み指標"
crm.aiHub.catalogSync.ds.metricsCatalog	"指標カタログ"
crm.aiHub.catalogSync.ds.triggerCondition	"トリガー条件"
crm.aiHub.catalogSync.ds.action	"アクション"
crm.aiHub.catalogSync.ds.channel	"チャネル"
crm.aiHub.catalogSync.ds.alertRuleCatalog	"アラートルールカタログ"
crm.aiHub.catalogSync.ds.secTitle	"セキュリティ脅威検知"
crm.aiHub.catalogSync.ds.secCode	"セキュリティコードを入力"
crm.aiHub.catalogSync.ds.secUnlock	"ロック解除"
crm.aiHub.catalogSync.ds.backToSchema	"スキーマに戻る"
crm.aiHub.catalogSync.ds.exportSchema	"スキーマ出力"
crm.aiHub.catalogSync.dt.heroDesc	"データ品質・信頼性・系譜を統合管理し、Trust Scoreをリアルタイム監視します。"
crm.aiHub.catalogSync.dt.trustScore	"信頼スコア"
crm.aiHub.catalogSync.dt.liveData	"リアルタイム"
crm.aiHub.catalogSync.dt.tabLineage	"データ系譜"
crm.aiHub.catalogSync.dt.tabPixel	"ピクセル"
crm.aiHub.catalogSync.dt.sourceOverview	"データソース概要"
crm.aiHub.catalogSync.dt.srcInventoryDesc	"リアルタイム在庫データ"
crm.aiHub.catalogSync.dt.srcOrdersDesc	"注文処理・履行データ"
crm.aiHub.catalogSync.dt.srcAdROASDesc	"広告パフォーマンス・ROASデータ"
crm.aiHub.catalogSync.dt.srcConversion	"コンバージョン"
crm.aiHub.catalogSync.dt.srcConversionDesc	"コンバージョン追跡・ピクセルデータ"
crm.aiHub.catalogSync.dt.srcCRMDesc	"顧客関係管理データ"
crm.aiHub.catalogSync.dt.srcSettlementDesc	"精算・手数料データ"
crm.aiHub.catalogSync.dt.srcAttribution	"アトリビューション"
crm.aiHub.catalogSync.dt.srcAttributionDesc	"マルチタッチアトリビューションデータ"
crm.aiHub.catalogSync.dt.srcPnLDesc	"損益計算書データ"
crm.aiHub.catalogSync.dt.improveTitle	"信頼スコア向上ガイド"
crm.aiHub.catalogSync.dt.improveStep1	"広告プラットフォームAPIキーを連動ハブで登録してください"
crm.aiHub.catalogSync.dt.improveStep2	"ピクセル/コンバージョン追跡を設定してください"
crm.aiHub.catalogSync.dt.improveStep3	"マーケット注文APIを接続してください"
crm.aiHub.catalogSync.dt.qualityTitle	"データ品質基準"
crm.aiHub.catalogSync.dt.qualityLiveTitle	"リアルタイムデータ（API直接連携）"
crm.aiHub.catalogSync.dt.qualityLiveDesc	"リアルタイムAPIで直接収集されたデータです。最高の信頼度を保証し、自動検証・整合性チェックを行います。"
crm.aiHub.catalogSync.dt.qualityLiveEx1	"APIリアルタイム注文"
crm.aiHub.catalogSync.dt.qualityLiveEx2	"OAuth広告パフォーマンス"
crm.aiHub.catalogSync.dt.qualityLiveEx3	"SDKコンバージョン追跡"
crm.aiHub.catalogSync.dt.qualityLiveEx4	"リアルタイム在庫同期"
crm.aiHub.catalogSync.dt.qualityEstTitle	"推定データ（間接・部分連携）"
crm.aiHub.catalogSync.dt.qualityEstDesc	"部分的に連携されたか間接的に収集されたデータです。制限された精度を持ち、API直接連携で品質向上が可能です。"
crm.aiHub.catalogSync.dt.qualityEstEx2	"CSV一括インポート"
crm.aiHub.catalogSync.dt.qualityNoneTitle	"未接続（データなし）"
crm.aiHub.catalogSync.dt.qualityNoneDesc	"まだ連携されておらずデータを収集できません。連動ハブでAPIキーを登録してください。"
crm.aiHub.catalogSync.dt.qualityNoneEx1	"未接続プラットフォーム"
crm.aiHub.catalogSync.dt.qualityNoneEx2	"非アクティブコネクタ"
crm.aiHub.catalogSync.dt.lineageTitle	"データ系譜マップ"
crm.aiHub.catalogSync.dt.lineageDesc	"データの収集から処理、最終出力物への変換までの全体フローを可視化します。"
crm.aiHub.catalogSync.dt.lineageSources	"データソース"
crm.aiHub.catalogSync.dt.lineageProcessing	"処理レイヤー"
crm.aiHub.catalogSync.dt.lineageSecCheck	"セキュリティ検査"
crm.aiHub.catalogSync.dt.lineageScoring	"スコアリング"
crm.aiHub.catalogSync.dt.lineageDashboard	"ダッシュボード"
crm.aiHub.catalogSync.dt.lineageRealSources	"リアルタイムソース"
crm.aiHub.catalogSync.dt.lineageEstSources	"推定ソース"
crm.aiHub.catalogSync.dt.lineageNoneSources	"未接続ソース"
crm.aiHub.catalogSync.dt.historyTitle	"信頼スコア履歴"
crm.aiHub.catalogSync.dt.historyDesc	"時間経過に伴うデータ信頼スコアの変化を追跡します。"
crm.aiHub.catalogSync.dt.historyCurrentScore	"現在スコア"
crm.aiHub.catalogSync.dt.historyPeakScore	"最高スコア"
crm.aiHub.catalogSync.dt.historyDataPoints	"データポイント"
crm.aiHub.catalogSync.dt.auditTitle	"監査ログ"
crm.aiHub.catalogSync.dt.auditBridgeTitle	"統合監査ログセンター"
crm.aiHub.catalogSync.dt.auditBridgeDesc	"全システムイベント・リスク分類・タイムラインビューを含む監査ログは専用モジュールで確認してください。"
crm.aiHub.catalogSync.dt.auditBridgeBtn	"監査ログセンターへ移動"
crm.aiHub.catalogSync.dt.secLockTitle	"セキュリティ脅威検知"
crm.aiHub.catalogSync.dt.secLockDesc	"異常なアクセスが検知され一時的にロックされました。管理者にお問い合わせください。"
crm.aiHub.catalogSync.dt.guideRoleTrustScore	"Trust Scoreはリアルタイムデータ比率、ピクセル接続数に基づいて自動計算されます（最大100点）。"
crm.aiHub.catalogSync.dt.guideRoleQuality	"データ品質は3段階（リアルタイム/推定/未接続）に分類され、API直接連携で最高等級を取得できます。"
crm.aiHub.catalogSync.dt.guideRoleLineage	"データ系譜マップはソース→処理→出力の全体フローを可視化してデータの透明性を保証します。"
crm.aiHub.catalogSync.graph.contribPath	"🛤 貢献パス"
crm.aiHub.catalogSync.graph.inf	"インフルエンサー"
